,THREAD #,NONE SECONDS,DATA INTEGRITY
TEST 2,5,120,MAINTAINED
TEST 3,5,121,MAINTAINED
TEST 4,5,122,MAINTAINED
TEST 5,5,125,MAINTAINED
TEST 1,6,106,MAINTAINED
TEST 2,6,102,MAINTAINED
TEST 3,6,106,MAINTAINED
TEST 4,6,99,MAINTAINED
TEST 5,6,106,MAINTAINED
TEST 1,7,89,MAINTAINED
TEST 2,7,98,MAINTAINED
TEST 3,7,96,MAINTAINED
TEST 4,7,92,MAINTAINED
TEST 5,7,94,MAINTAINED
TEST 1,8,87,MAINTAINED
TEST 2,8,82,MAINTAINED
TEST 3,8,88,MAINTAINED
TEST 4,8,86,MAINTAINED
TEST 5,8,94,MAINTAINED
TEST 1,9,79,MAINTAINED
TEST 2,9,80,MAINTAINED
TEST 3,9,81,MAINTAINED
TEST 4,9,81,MAINTAINED
TEST 5,9,78,MAINTAINED
TEST 1,10,76,MAINTAINED
TEST 2,10,73,MAINTAINED
TEST 3,10,71,MAINTAINED
TEST 4,10,77,MAINTAINED
TEST 5,10,83,MAINTAINED
,,,
,THREAD #,GRID SECONDS,DATA INTEGRITY
TEST 1,1,200,MAINTAINED
TEST 2,1,200,MAINTAINED
TEST 3,1,200,MAINTAINED
TEST 4,1,200,MAINTAINED
TEST 5,1,200,MAINTAINED
TEST 1,2,200,MAINTAINED
TEST 2,2,200,MAINTAINED
TEST 3,2,200,MAINTAINED
TEST 4,2,200,MAINTAINED
TEST 5,2,200,MAINTAINED
TEST 1,3,200,MAINTAINED
TEST 2,3,200,MAINTAINED
TEST 3,3,200,MAINTAINED
TEST 4,3,200,MAINTAINED
TEST 5,3,200,MAINTAINED
TEST 1,4,200,MAINTAINED
TEST 2,4,200,MAINTAINED
TEST 3,4,200,MAINTAINED
TEST 4,4,200,MAINTAINED
TEST 5,4,200,MAINTAINED
TEST 1,5,200,MAINTAINED
TEST 2,5,200,MAINTAINED
TEST 3,5,200,MAINTAINED
TEST 4,5,200,MAINTAINED
TEST 5,5,200,MAINTAINED
TEST 1,6,200,MAINTAINED
TEST 2,6,200,MAINTAINED
TEST 3,6,200,MAINTAINED
TEST 4,6,200,MAINTAINED
TEST 5,6,200,MAINTAINED
TEST 1,7,200,MAINTAINED
TEST 2,7,200,MAINTAINED
TEST 3,7,200,MAINTAINED
TEST 4,7,200,MAINTAINED
TEST 5,7,200,MAINTAINED
TEST 1,8,201,MAINTAINED
TEST 2,8,200,MAINTAINED
TEST 3,8,200,MAINTAINED
TEST 4,8,200,MAINTAINED
TEST 5,8,200,MAINTAINED
TEST 1,9,200,MAINTAINED
TEST 2,9,201,MAINTAINED
TEST 3,9,200,MAINTAINED
TEST 4,9,200,MAINTAINED
TEST 5,9,200,MAINTAINED
TEST 1,10,200,MAINTAINED
TEST 2,10,200,MAINTAINED
TEST 3,10,200,MAINTAINED
TEST 4,10,200,MAINTAINED
TEST 5,10,200,MAINTAINED
,,,
,THREAD #,CELL SECONDS,DATA INTEGRITY
TEST 1,1,200,MAINTAINED
TEST 2,1,200,MAINTAINED
TEST 3,1,200,MAINTAINED
TEST 4,1,200,MAINTAINED
TEST 5,1,200,MAINTAINED
TEST 1,2,150,MAINTAINED
TEST 2,2,138,MAINTAINED
TEST 3,2,146,MAINTAINED
TEST 4,2,149,MAINTAINED
TEST 5,2,145,MAINTAINED
TEST 1,3,87,MAINTAINED
TEST 2,3,86,MAINTAINED
TEST 3,3,84,MAINTAINED
TEST 4,3,83,MAINTAINED
TEST 5,3,81,MAINTAINED
TEST 1,4,58,MAINTAINED
TEST 2,4,65,MAINTAINED
TEST 3,4,57,MAINTAINED
TEST 4,4,58,MAINTAINED
TEST 5,4,63,MAINTAINED
TEST 1,5,42,MAINTAINED
TEST 2,5,43,MAINTAINED
TEST 3,5,43,MAINTAINED
TEST 4,5,44,MAINTAINED
TEST 5,5,47,MAINTAINED
TEST 1,6,38,MAINTAINED
TEST 2,6,37,MAINTAINED
TEST 3,6,40,MAINTAINED
TEST 4,6,41,MAINTAINED
TEST 5,6,35,MAINTAINED
TEST 1,7,31,MAINTAINED
TEST 2,7,32,MAINTAINED
TEST 3,7,32,MAINTAINED
TEST 4,7,31,MAINTAINED
TEST 5,7,31,MAINTAINED
TEST 1,8,29,MAINTAINED
TEST 2,8,28,MAINTAINED
TEST 3,8,29,MAINTAINED
TEST 4,8,29,MAINTAINED
TEST 5,8,30,MAINTAINED
TEST 1,9,31,MAINTAINED
TEST 2,9,29,MAINTAINED
TEST 3,9,28,MAINTAINED
TEST 4,9,27,MAINTAINED
TEST 5,9,29,MAINTAINED
TEST 1,10,30,MAINTAINED
TEST 2,10,29,MAINTAINED
TEST 3,10,29,MAINTAINED
TEST 4,10,30,MAINTAINED
TEST 5,10,26,MAINTAINED
,,,
